GSK3	E2F1	pRB	Myc	YAP	p15	CHK1	CyclinD1	p21	CyclinD1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1	1	0
0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	1	0	0
0	0	0	0	0	0	1	1	1	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	1	0
0	0	0	0	0	1	0	1	0	0
0	0	0	0	0	1	0	1	1	0
0	0	0	0	0	1	1	0	0	0
0	0	0	0	0	1	1	0	1	0
0	0	0	0	0	1	1	1	0	0
0	0	0	0	0	1	1	1	1	0
0	0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0
0	0	0	0	1	0	0	1	0	0
0	0	0	0	1	0	0	1	1	0
0	0	0	0	1	0	1	0	0	0
0	0	0	0	1	0	1	0	1	0
0	0	0	0	1	0	1	1	0	0
0	0	0	0	1	0	1	1	1	0
0	0	0	0	1	1	0	0	0	0
0	0	0	0	1	1	0	0	1	0
0	0	0	0	1	1	0	1	0	0
0	0	0	0	1	1	0	1	1	0
0	0	0	0	1	1	1	0	0	0
0	0	0	0	1	1	1	0	1	0
0	0	0	0	1	1	1	1	0	0
0	0	0	0	1	1	1	1	1	0
0	0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	1	0
0	0	0	1	0	0	0	1	0	0
0	0	0	1	0	0	0	1	1	0
0	0	0	1	0	0	1	0	0	0
0	0	0	1	0	0	1	0	1	0
0	0	0	1	0	0	1	1	0	0
0	0	0	1	0	0	1	1	1	0
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	1	0
0	0	0	1	0	1	0	1	0	0
0	0	0	1	0	1	0	1	1	0
0	0	0	1	0	1	1	0	0	0
0	0	0	1	0	1	1	0	1	0
0	0	0	1	0	1	1	1	0	0
0	0	0	1	0	1	1	1	1	0
0	0	0	1	1	0	0	0	0	1
0	0	0	1	1	0	0	0	1	0
0	0	0	1	1	0	0	1	0	1
0	0	0	1	1	0	0	1	1	0
0	0	0	1	1	0	1	0	0	0
0	0	0	1	1	0	1	0	1	0
0	0	0	1	1	0	1	1	0	0
0	0	0	1	1	0	1	1	1	0
0	0	0	1	1	1	0	0	0	0
0	0	0	1	1	1	0	0	1	0
0	0	0	1	1	1	0	1	0	0
0	0	0	1	1	1	0	1	1	0
0	0	0	1	1	1	1	0	0	0
0	0	0	1	1	1	1	0	1	0
0	0	0	1	1	1	1	1	0	0
0	0	0	1	1	1	1	1	1	0
0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	1	0
0	0	1	0	0	0	0	1	0	0
0	0	1	0	0	0	0	1	1	0
0	0	1	0	0	0	1	0	0	0
0	0	1	0	0	0	1	0	1	0
0	0	1	0	0	0	1	1	0	0
0	0	1	0	0	0	1	1	1	0
0	0	1	0	0	1	0	0	0	0
0	0	1	0	0	1	0	0	1	0
0	0	1	0	0	1	0	1	0	0
0	0	1	0	0	1	0	1	1	0
0	0	1	0	0	1	1	0	0	0
0	0	1	0	0	1	1	0	1	0
0	0	1	0	0	1	1	1	0	0
0	0	1	0	0	1	1	1	1	0
0	0	1	0	1	0	0	0	0	0
0	0	1	0	1	0	0	0	1	0
0	0	1	0	1	0	0	1	0	0
0	0	1	0	1	0	0	1	1	0
0	0	1	0	1	0	1	0	0	0
0	0	1	0	1	0	1	0	1	0
0	0	1	0	1	0	1	1	0	0
0	0	1	0	1	0	1	1	1	0
0	0	1	0	1	1	0	0	0	0
0	0	1	0	1	1	0	0	1	0
0	0	1	0	1	1	0	1	0	0
0	0	1	0	1	1	0	1	1	0
0	0	1	0	1	1	1	0	0	0
0	0	1	0	1	1	1	0	1	0
0	0	1	0	1	1	1	1	0	0
0	0	1	0	1	1	1	1	1	0
0	0	1	1	0	0	0	0	0	0
0	0	1	1	0	0	0	0	1	0
0	0	1	1	0	0	0	1	0	0
0	0	1	1	0	0	0	1	1	0
0	0	1	1	0	0	1	0	0	0
0	0	1	1	0	0	1	0	1	0
0	0	1	1	0	0	1	1	0	0
0	0	1	1	0	0	1	1	1	0
0	0	1	1	0	1	0	0	0	0
0	0	1	1	0	1	0	0	1	0
0	0	1	1	0	1	0	1	0	0
0	0	1	1	0	1	0	1	1	0
0	0	1	1	0	1	1	0	0	0
0	0	1	1	0	1	1	0	1	0
0	0	1	1	0	1	1	1	0	0
0	0	1	1	0	1	1	1	1	0
0	0	1	1	1	0	0	0	0	1
0	0	1	1	1	0	0	0	1	0
0	0	1	1	1	0	0	1	0	1
0	0	1	1	1	0	0	1	1	0
0	0	1	1	1	0	1	0	0	0
0	0	1	1	1	0	1	0	1	0
0	0	1	1	1	0	1	1	0	0
0	0	1	1	1	0	1	1	1	0
0	0	1	1	1	1	0	0	0	0
0	0	1	1	1	1	0	0	1	0
0	0	1	1	1	1	0	1	0	0
0	0	1	1	1	1	0	1	1	0
0	0	1	1	1	1	1	0	0	0
0	0	1	1	1	1	1	0	1	0
0	0	1	1	1	1	1	1	0	0
0	0	1	1	1	1	1	1	1	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0
0	1	0	0	0	0	1	0	0	0
0	1	0	0	0	0	1	0	1	0
0	1	0	0	0	0	1	1	0	0
0	1	0	0	0	0	1	1	1	0
0	1	0	0	0	1	0	0	0	0
0	1	0	0	0	1	0	0	1	0
0	1	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	1	1	0
0	1	0	0	0	1	1	0	0	0
0	1	0	0	0	1	1	0	1	0
0	1	0	0	0	1	1	1	0	0
0	1	0	0	0	1	1	1	1	0
0	1	0	0	1	0	0	0	0	1
0	1	0	0	1	0	0	0	1	0
0	1	0	0	1	0	0	1	0	1
0	1	0	0	1	0	0	1	1	1
0	1	0	0	1	0	1	0	0	0
0	1	0	0	1	0	1	0	1	0
0	1	0	0	1	0	1	1	0	0
0	1	0	0	1	0	1	1	1	0
0	1	0	0	1	1	0	0	0	0
